City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,la passe,45.5549,-0.8967,299.09,71,8,5.32,FR,1686848863
353,peterhead,57.5058,-1.7981,295.37,71,2,4.37,GB,1686848856
354,homer,59.6425,-151.5483,281.09,70,100,7.72,US,1686848818
355,princeville,45.7668,-61.2985,292.42,95,100,4.63,CA,1686848863
356,ketchikan,55.3422,-131.6461,285.14,76,100,5.14,US,1686848864
357,corner brook,48.9667,-57.9484,288.67,75,98,5.88,CA,1686848864
358,broome,42.2506,-75.833,297.38,57,40,5.14,US,1686848864
359,nuuk,64.1835,-51.7216,277.49,60,75,2.06,GL,1686848864
360,huayin,34.5675,110.0921,297.83,58,100,4.52,CN,1686848865
361,horta,38.5333,-28.6333,293.95,81,20,6.69,PT,1686848865
362,bonanza,14.0289,-84.591,300.3,90,99,1.97,NI,1686848865
